snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max
6.5,ldpc4,280,0.1665310650887574,0.8928571428571429,3.9714285714285715,5802.921428571429,5877.0,5877.0,5877.0,7.253651785714286,7.34625,7.34625,7.34625,0.1665310650887574,0.8928571428571429,0.0,5802.921428571429,5877.0,5877.0,5877.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,ldpc8,470,0.1274825317889966,0.5319148936170213,6.8936170212765955,9745.978723404256,11433.0,11433.0,11433.0,12.182473404255317,14.29125,14.29125,14.29125,0.1274825317889966,0.5319148936170213,0.0,9745.978723404256,11433.0,11433.0,11433.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,ldpc15,689,0.10413589285560927,0.36284470246734396,9.850507982583455,13798.828737300435,21156.0,21156.0,21156.0,17.248535921625542,26.445,26.445,26.445,0.10413589285560927,0.36284470246734396,0.0,13798.828737300435,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,ldpc20,753,0.10868017083539609,0.33200531208499334,11.573705179282868,16182.450199203187,28101.0,28101.0,28101.0,20.228062749003982,35.12625,35.12625,35.12625,0.10868017083539609,0.33200531208499334,0.0,16182.450199203187,28101.0,28101.0,28101.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,ldpc100,919,0.09586933636381197,0.2720348204570185,33.979325353645265,47284.606093579976,139221.0,139221.0,139221.0,59.10575761697497,174.02625,174.02625,174.02625,0.09586933636381197,0.2720348204570185,0.0,47284.606093579976,139221.0,139221.0,139221.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hyb4,284,0.14634617988999082,0.8802816901408451,3.9753521126760565,138425.37676056338,159796.7,160441.59,160759.0,173.03172095070423,199.745875,200.5519875,200.94875,0.14635594632886073,0.8943661971830986,0.8943661971830986,5808.855633802817,5877.0,5877.0,5877.0,132616.52112676058,153919.7,154564.59,154882.0,30261.6161971831,34370.0,34370.0,34370.0,30262.936619718308,34370.0,34370.0,34370.0,33835.82283464567,34370.0,34370.0,34370.0,33837.299212598424,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hyb8,485,0.12466410968096138,0.5154639175257731,6.777319587628866,88348.00824742268,165491.0,165557.32,166624.0,110.43501030927835,206.86375,206.94665,208.28,0.12466792228390167,0.5257731958762887,0.5257731958762887,9582.470103092783,11433.0,11433.0,11433.0,78765.5381443299,154058.0,154124.32,155191.0,17717.0,34370.0,34370.0,34370.0,17717.703092783504,34370.0,34370.0,34370.0,33697.03921568627,34370.0,34370.0,34370.0,33698.376470588235,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hyb15,734,0.10594431702755429,0.3405994550408719,9.811989100817438,66003.33923705723,175238.7,175286.02,175330.0,82.50417404632152,219.04837500000002,219.107525,219.1625,0.10594683625429276,0.3460490463215259,0.3460490463215259,13739.934604904633,21156.0,21156.0,21156.0,52263.40463215259,154082.7,154130.02,154174.0,11710.510899182562,34370.0,34370.0,34370.0,11711.021798365122,34370.0,34370.0,34370.0,33840.61023622047,34370.0,34370.0,34370.0,33842.086614173226,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hybsv4,302,0.1552470708099847,0.8278145695364238,3.9701986754966887,505588.77483443706,624394.3,630337.77,635300.0,631.9859685430464,780.4928749999999,787.9222125,794.125,0.15526299032093735,0.847682119205298,0.847682119205298,5786.711920529801,5877.0,5877.0,5877.0,499802.0629139073,618517.3,624460.77,629423.0,91716.2582781457,110566.0,110566.0,110566.0,91717.80463576158,110566.0,110566.0,110566.0,108196.5234375,110566.0,110566.0,110566.0,108198.34765625,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,hybsv8,501,0.11428326778395871,0.499001996007984,6.746506986027944,311120.2594810379,625551.0,631354.0,635041.0,388.9003243512974,781.93875,789.1925,793.80125,0.11429064947029019,0.5109780439121756,0.5109780439121756,9534.922155688622,11433.0,11433.0,11433.0,301585.3373253493,614118.0,619921.0,623608.0,55280.12574850299,110566.0,110566.0,110566.0,55280.878243512976,110566.0,110566.0,110566.0,108184.93359375,110566.0,110566.0,110566.0,108186.40625,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
