snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max,osd_candidate_mean,osd_candidate_p95,osd_candidate_max,osd_candidates_tested_mean,osd_candidates_tested_p95,osd_candidates_tested_max,osd_free_dim_mean,osd_free_dim_p95,osd_free_dim_max,restart_num_runs_mean,restart_num_runs_p95,restart_num_runs_max,restart_ldpc_iters_mean,restart_ldpc_iters_p95,restart_ldpc_iters_max,restart_anchor_bits_mean,restart_anchor_bits_p95,restart_anchor_bits_max,disagreement_added_mean,disagreement_added_p95,disagreement_added_max
7.0,ldpc4,655,0.029044333529066352,0.3816793893129771,3.4137404580152673,4864.204580152672,5877.0,5877.0,5877.0,6.08025572519084,7.34625,7.34625,7.34625,0.029044333529066352,0.3816793893129771,0.0,4864.204580152672,5877.0,5877.0,5877.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.0,ldpc8,1975,0.018229907872069507,0.12658227848101267,4.492658227848101,6280.935189873418,11433.0,11433.0,11433.0,7.851168987341772,14.29125,14.29125,14.29125,0.018229907872069507,0.12658227848101267,0.0,6280.935189873418,11433.0,11433.0,11433.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.0,ldpc15,4530,0.012630254254999543,0.05518763796909492,4.987637969094923,6945.544370860927,21156.0,21156.0,21156.0,8.68193046357616,26.445,26.445,26.445,0.012630254254999543,0.05518763796909492,0.0,6945.544370860927,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.0,ldpc20,6221,0.010532153214584311,0.040186465198521135,5.184857739913197,7214.667256068156,20835.0,28101.0,28101.0,9.018334070085196,26.04375,35.12625,35.12625,0.010532153214584311,0.040186465198521135,0.0,7214.667256068156,20835.0,28101.0,28101.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.0,ldpc100,8628,0.00957320736394236,0.028975428836346778,7.687644877144182,10687.439847009735,22224.0,139221.0,139221.0,13.359299808762168,27.78,174.02625,174.02625,0.00957320736394236,0.028975428836346778,0.0,10687.439847009735,22224.0,139221.0,139221.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.0,hyb4,704,0.029608387405863367,0.35511363636363635,3.4375,55895.26988636364,159609.4,159991.91,160748.0,69.86908735795454,199.51175,199.9898875,200.935,0.029623884228752017,0.3835227272727273,0.3835227272727273,4897.798295454545,5877.0,5877.0,5877.0,50997.47159090909,153732.4,154114.91,154871.0,12214.193181818182,34370.0,34370.0,34370.0,12217.447443181818,34370.0,34370.0,34370.0,31847.37777777778,34370.0,34370.0,34370.0,31855.86296296296,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hyb8,2321,0.015289713931711744,0.1077121930202499,4.408444635932788,22044.971994829815,164787.0,165456.2,166280.0,27.55621499353727,205.98375,206.82025,207.85,0.015291466644911779,0.11115898319689789,0.11115898319689789,6159.011632916846,11433.0,11433.0,11433.0,15885.960361912968,153354.0,154023.2,154847.0,3703.313657906075,34370.0,34370.0,34370.0,3703.6510124946144,34370.0,34370.0,34370.0,33315.46899224806,34370.0,34370.0,34370.0,33318.50387596899,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hyb15,3990,0.014757770906556332,0.06265664160401002,5.08796992481203,16640.382205513786,174326.85,175204.22,175615.0,20.80047775689223,217.9085625,219.00527499999998,219.51875,0.014757817250226157,0.06290726817042606,0.06290726817042606,7087.383458646616,21156.0,21156.0,21156.0,9552.998746867168,153170.85,154048.22,154459.0,2153.5107769423557,34370.0,34370.0,34370.0,2153.5165413533837,34370.0,34370.0,34370.0,34233.099601593625,34370.0,34370.0,34370.0,34233.19123505976,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybsv4,665,0.029757085020242914,0.37593984962406013,3.4165413533834585,220636.19699248121,623554.4,627734.68,630752.0,275.7952462406015,779.443,784.66835,788.44,0.029774602927436937,0.39849624060150374,0.39849624060150374,4873.493233082707,5877.0,5877.0,5877.0,215762.7037593985,617677.4,621857.68,624875.0,41660.287218045116,110566.0,110566.0,110566.0,41662.3007518797,110566.0,110566.0,110566.0,104543.73962264151,110566.0,110566.0,110566.0,104548.7924528302,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybsv8,2367,0.016190709659194596,0.10561892691170258,4.419940853400929,67952.50908322772,623579.8,627285.06,633789.0,84.94063635403465,779.4747500000001,784.1063250000001,792.23625,0.016193756359009357,0.11237853823405154,0.11237853823405154,6175.371356147021,11433.0,11433.0,11433.0,61777.13772708069,612146.8,615852.06,622356.0,11680.974228981833,110566.0,110566.0,110566.0,11681.542458808619,110566.0,110566.0,110566.0,103943.1052631579,110566.0,110566.0,110566.0,103948.16165413534,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
